geo_key,county_name,electoral_district_name,township_name,village_name,candidate_no,candidate_name,party_name,gender,age,incumbent,elected_note,votes,vote_percentage,valid_votes,invalid_votes,total_votes,electorate,turnout_ratio,prov_city,county_city,electoral_district,township,village
'01'000'001000,NA,NA,NA,建民里,1,張育憬,NA,'2,42,N,NA,57,2.24,2546,30,2576,3270,78.78,'01,'000,'01,'001,'0001
'01'000'001000,NA,NA,NA,建民里,2,張志傑,NA,'1,30,N,NA,29,1.14,2546,30,2576,3270,78.78,'01,'000,'01,'001,'0001
'01'000'001000,NA,NA,NA,建民里,3,鄭光照,NA,'1,57,N,NA,4,0.16,2546,30,2576,3270,78.78,'01,'000,'01,'001,'0001
'01'000'001000,NA,NA,NA,建民里,4,丁守中,NA,'1,58,Y,*,1155,45.37,2546,30,2576,3270,78.78,'01,'000,'01,'001,'0001
'01'000'001000,NA,NA,NA,建民里,5,楊烈,NA,'1,60,N,NA,1301,51.1,2546,30,2576,3270,78.78,'01,'000,'01,'001,'0001
'01'000'001000,NA,NA,NA,文林里,1,張育憬,NA,'2,42,N,NA,72,2.54,2831,38,2869,3620,79.25,'01,'000,'01,'001,'0002
'01'000'001000,NA,NA,NA,文林里,2,張志傑,NA,'1,30,N,NA,29,1.02,2831,38,2869,3620,79.25,'01,'000,'01,'001,'0002
'01'000'001000,NA,NA,NA,文林里,3,鄭光照,NA,'1,57,N,NA,10,0.35,2831,38,2869,3620,79.25,'01,'000,'01,'001,'0002
'01'000'001000,NA,NA,NA,文林里,4,丁守中,NA,'1,58,Y,*,1418,50.09,2831,38,2869,3620,79.25,'01,'000,'01,'001,'0002
'01'000'001000,NA,NA,NA,文林里,5,楊烈,NA,'1,60,N,NA,1302,45.99,2831,38,2869,3620,79.25,'01,'000,'01,'001,'0002
'01'000'001000,NA,NA,NA,石牌里,1,張育憬,NA,'2,42,N,NA,77,2.22,3467,33,3500,4421,79.17,'01,'000,'01,'001,'0003
'01'000'001000,NA,NA,NA,石牌里,2,張志傑,NA,'1,30,N,NA,35,1.01,3467,33,3500,4421,79.17,'01,'000,'01,'001,'0003
'01'000'001000,NA,NA,NA,石牌里,3,鄭光照,NA,'1,57,N,NA,14,0.4,3467,33,3500,4421,79.17,'01,'000,'01,'001,'0003
'01'000'001000,NA,NA,NA,石牌里,4,丁守中,NA,'1,58,Y,*,1790,51.63,3467,33,3500,4421,79.17,'01,'000,'01,'001,'0003
'01'000'001000,NA,NA,NA,石牌里,5,楊烈,NA,'1,60,N,NA,1551,44.74,3467,33,3500,4421,79.17,'01,'000,'01,'001,'0003
'01'000'001000,NA,NA,NA,福興里,1,張育憬,NA,'2,42,N,NA,64,1.44,4443,64,4507,5613,80.3,'01,'000,'01,'001,'0004
'01'000'001000,NA,NA,NA,福興里,2,張志傑,NA,'1,30,N,NA,60,1.35,4443,64,4507,5613,80.3,'01,'000,'01,'001,'0004
'01'000'001000,NA,NA,NA,福興里,3,鄭光照,NA,'1,57,N,NA,18,0.41,4443,64,4507,5613,80.3,'01,'000,'01,'001,'0004
'01'000'001000,NA,NA,NA,福興里,4,丁守中,NA,'1,58,Y,*,2425,54.58,4443,64,4507,5613,80.3,'01,'000,'01,'001,'0004
'01'000'001000,NA,NA,NA,福興里,5,楊烈,NA,'1,60,N,NA,1876,42.22,4443,64,4507,5613,80.3,'01,'000,'01,'001,'0004
'01'000'001000,NA,NA,NA,榮光里,1,張育憬,NA,'2,42,N,NA,83,1.87,4439,47,4486,5788,77.51,'01,'000,'01,'001,'0005
'01'000'001000,NA,NA,NA,榮光里,2,張志傑,NA,'1,30,N,NA,48,1.08,4439,47,4486,5788,77.51,'01,'000,'01,'001,'0005
'01'000'001000,NA,NA,NA,榮光里,3,鄭光照,NA,'1,57,N,NA,21,0.47,4439,47,4486,5788,77.51,'01,'000,'01,'001,'0005
'01'000'001000,NA,NA,NA,榮光里,4,丁守中,NA,'1,58,Y,*,2505,56.43,4439,47,4486,5788,77.51,'01,'000,'01,'001,'0005
'01'000'001000,NA,NA,NA,榮光里,5,楊烈,NA,'1,60,N,NA,1782,40.14,4439,47,4486,5788,77.51,'01,'000,'01,'001,'0005
'01'000'001000,NA,NA,NA,榮華里,1,張育憬,NA,'2,42,N,NA,140,2.91,4814,40,4854,6260,77.54,'01,'000,'01,'001,'0006
'01'000'001000,NA,NA,NA,榮華里,2,張志傑,NA,'1,30,N,NA,53,1.1,4814,40,4854,6260,77.54,'01,'000,'01,'001,'0006
'01'000'001000,NA,NA,NA,榮華里,3,鄭光照,NA,'1,57,N,NA,15,0.31,4814,40,4854,6260,77.54,'01,'000,'01,'001,'0006
'01'000'001000,NA,NA,NA,榮華里,4,丁守中,NA,'1,58,Y,*,2861,59.43,4814,40,4854,6260,77.54,'01,'000,'01,'001,'0006
'01'000'001000,NA,NA,NA,榮華里,5,楊烈,NA,'1,60,N,NA,1745,36.25,4814,40,4854,6260,77.54,'01,'000,'01,'001,'0006
'01'000'001000,NA,NA,NA,裕民里,1,張育憬,NA,'2,42,N,NA,121,2.51,4825,56,4881,6178,79.01,'01,'000,'01,'001,'0007
'01'000'001000,NA,NA,NA,裕民里,2,張志傑,NA,'1,30,N,NA,48,0.99,4825,56,4881,6178,79.01,'01,'000,'01,'001,'0007
'01'000'001000,NA,NA,NA,裕民里,3,鄭光照,NA,'1,57,N,NA,21,0.44,4825,56,4881,6178,79.01,'01,'000,'01,'001,'0007
'01'000'001000,NA,NA,NA,裕民里,4,丁守中,NA,'1,58,Y,*,2768,57.37,4825,56,4881,6178,79.01,'01,'000,'01,'001,'0007
'01'000'001000,NA,NA,NA,裕民里,5,楊烈,NA,'1,60,N,NA,1867,38.69,4825,56,4881,6178,79.01,'01,'000,'01,'001,'0007
'01'000'001000,NA,NA,NA,振華里,1,張育憬,NA,'2,42,N,NA,142,2.86,4965,53,5018,6377,78.69,'01,'000,'01,'001,'0008
'01'000'001000,NA,NA,NA,振華里,2,張志傑,NA,'1,30,N,NA,38,0.77,4965,53,5018,6377,78.69,'01,'000,'01,'001,'0008
'01'000'001000,NA,NA,NA,振華里,3,鄭光照,NA,'1,57,N,NA,8,0.16,4965,53,5018,6377,78.69,'01,'000,'01,'001,'0008
'01'000'001000,NA,NA,NA,振華里,4,丁守中,NA,'1,58,Y,*,2962,59.66,4965,53,5018,6377,78.69,'01,'000,'01,'001,'0008
'01'000'001000,NA,NA,NA,振華里,5,楊烈,NA,'1,60,N,NA,1815,36.56,4965,53,5018,6377,78.69,'01,'000,'01,'001,'0008
'01'000'001000,NA,NA,NA,永和里,1,張育憬,NA,'2,42,N,NA,127,2.33,5460,83,5543,7258,76.37,'01,'000,'01,'001,'0009
'01'000'001000,NA,NA,NA,永和里,2,張志傑,NA,'1,30,N,NA,65,1.19,5460,83,5543,7258,76.37,'01,'000,'01,'001,'0009
'01'000'001000,NA,NA,NA,永和里,3,鄭光照,NA,'1,57,N,NA,15,0.27,5460,83,5543,7258,76.37,'01,'000,'01,'001,'0009
'01'000'001000,NA,NA,NA,永和里,4,丁守中,NA,'1,58,Y,*,3074,56.3,5460,83,5543,7258,76.37,'01,'000,'01,'001,'0009
'01'000'001000,NA,NA,NA,永和里,5,楊烈,NA,'1,60,N,NA,2179,39.91,5460,83,5543,7258,76.37,'01,'000,'01,'001,'0009
'01'000'001001,NA,NA,NA,永欣里,1,張育憬,NA,'2,42,N,NA,148,3.15,4698,62,4760,6239,76.29,'01,'000,'01,'001,'0010
'01'000'001001,NA,NA,NA,永欣里,2,張志傑,NA,'1,30,N,NA,101,2.15,4698,62,4760,6239,76.29,'01,'000,'01,'001,'0010
'01'000'001001,NA,NA,NA,永欣里,3,鄭光照,NA,'1,57,N,NA,11,0.23,4698,62,4760,6239,76.29,'01,'000,'01,'001,'0010
'01'000'001001,NA,NA,NA,永欣里,4,丁守中,NA,'1,58,Y,*,2922,62.2,4698,62,4760,6239,76.29,'01,'000,'01,'001,'0010
'01'000'001001,NA,NA,NA,永欣里,5,楊烈,NA,'1,60,N,NA,1516,32.27,4698,62,4760,6239,76.29,'01,'000,'01,'001,'0010
'01'000'001001,NA,NA,NA,永明里,1,張育憬,NA,'2,42,N,NA,72,2.38,3019,33,3052,3849,79.29,'01,'000,'01,'001,'0011
'01'000'001001,NA,NA,NA,永明里,2,張志傑,NA,'1,30,N,NA,46,1.52,3019,33,3052,3849,79.29,'01,'000,'01,'001,'0011
'01'000'001001,NA,NA,NA,永明里,3,鄭光照,NA,'1,57,N,NA,5,0.17,3019,33,3052,3849,79.29,'01,'000,'01,'001,'0011
'01'000'001001,NA,NA,NA,永明里,4,丁守中,NA,'1,58,Y,*,1783,59.06,3019,33,3052,3849,79.29,'01,'000,'01,'001,'0011
'01'000'001001,NA,NA,NA,永明里,5,楊烈,NA,'1,60,N,NA,1113,36.87,3019,33,3052,3849,79.29,'01,'000,'01,'001,'0011
'01'000'001001,NA,NA,NA,東華里,1,張育憬,NA,'2,42,N,NA,73,2.47,2952,40,2992,3733,80.15,'01,'000,'01,'001,'0012
'01'000'001001,NA,NA,NA,東華里,2,張志傑,NA,'1,30,N,NA,26,0.88,2952,40,2992,3733,80.15,'01,'000,'01,'001,'0012
'01'000'001001,NA,NA,NA,東華里,3,鄭光照,NA,'1,57,N,NA,10,0.34,2952,40,2992,3733,80.15,'01,'000,'01,'001,'0012
'01'000'001001,NA,NA,NA,東華里,4,丁守中,NA,'1,58,Y,*,1814,61.45,2952,40,2992,3733,80.15,'01,'000,'01,'001,'0012
'01'000'001001,NA,NA,NA,東華里,5,楊烈,NA,'1,60,N,NA,1029,34.86,2952,40,2992,3733,80.15,'01,'000,'01,'001,'0012
'01'000'001001,NA,NA,NA,吉利里,1,張育憬,NA,'2,42,N,NA,88,2.06,4276,55,4331,5452,79.44,'01,'000,'01,'001,'0013
'01'000'001001,NA,NA,NA,吉利里,2,張志傑,NA,'1,30,N,NA,47,1.1,4276,55,4331,5452,79.44,'01,'000,'01,'001,'0013
'01'000'001001,NA,NA,NA,吉利里,3,鄭光照,NA,'1,57,N,NA,11,0.26,4276,55,4331,5452,79.44,'01,'000,'01,'001,'0013
'01'000'001001,NA,NA,NA,吉利里,4,丁守中,NA,'1,58,Y,*,2606,60.94,4276,55,4331,5452,79.44,'01,'000,'01,'001,'0013
'01'000'001001,NA,NA,NA,吉利里,5,楊烈,NA,'1,60,N,NA,1524,35.64,4276,55,4331,5452,79.44,'01,'000,'01,'001,'0013
'01'000'001001,NA,NA,NA,吉慶里,1,張育憬,NA,'2,42,N,NA,79,2.41,3275,46,3321,4167,79.7,'01,'000,'01,'001,'0014
'01'000'001001,NA,NA,NA,吉慶里,2,張志傑,NA,'1,30,N,NA,29,0.89,3275,46,3321,4167,79.7,'01,'000,'01,'001,'0014
