type,district,winner,winner_votes,opponent_votes,total_votes,areas,lat,lng
立委,新北市1,洪孟楷,158596,106454,387636,石門區、三芝區、淡水區、八里區、林口區、泰山區,25.1745,121.4455
立委,台中市5,黃健豪,134706,107357,363228,北區、北屯區,24.1794,120.6947
立委,新北市11,羅明才,123399,76237,296636,新店區、深坑區、石碇區、坪林區、烏來區,24.9772,121.5386
立委,台中市4,廖偉翔,119740,113350,329204,西屯區、南屯區,24.1632,120.64
立委,桃園市4,萬美玲,119430,83183,302324,桃園區,24.9936,121.3168
立委,台中市2,顏寬恒,118962,96151,302780,沙鹿區、龍井區、大肚區、烏日區、霧峰區,24.1863,120.5779
立委,桃園市1,牛煦庭,116571,103466,339560,龜山區、蘆竹區、桃園區(15里),25.0479,121.3721
立委,台北市4,李彦秀,112743,95241,318088,內湖區、南港區,25.0568,121.6154
立委,台中市3,楊瓊瓔,106306,80128,260252,后里區、神岡區、大雅區、潭子區,24.2493,120.7
立委,台北市3,王鴻薇,105050,89850,277328,中山區、松山區(20里),25.0521,121.5422
立委,桃園市2,涂權吉,103697,102468,308720,大園區、觀音區、新屋區、楊梅區,24.9912,121.1554
立委,台中市6,羅廷瑋,103630,88674,273368,中區、西區、東區、南區,24.1374,120.6869
立委,桃園市3,魯明哲,102056,95581,301216,中壢區(73里),24.9583,121.2256
立委,新北市9,林德福,98260,50613,238300,永和區、中和區(17里),25.0094,121.515
立委,彰化縣3,謝衣鳳,97681,78473,267188,芳苑鄉、二林鎮、埔鹽鄉、溪湖鎮、埔心鄉、大城鄉、竹塘鄉、埤頭鄉、北斗鎮、溪州鄉,23.9056,120.4422
立委,新北市12,廖先翔,92489,81937,265112,汐止區、金山區、萬里區、瑞芳區、平溪區、雙溪區、貢寮區,25.0721,121.6638
立委,新竹市1,鄭正鈐,92014,83298,354648,東區、北區、香山區,24.8039,120.9687
立委,基隆市1,林沛祥,91986,69741,303940,中正區、七堵區、暖暖區、仁愛區、中山區、安樂區、信義區,25.1283,121.7419
立委,新北市8,張智倫,89808,77763,287652,中和區(76里),25,121.485
立委,台北市7,徐巧芯,89727,76113,234816,信義區、松山區(13里),25.033,121.5654
立委,桃園市5,呂玉玲,89372,69022,280636,平鎮區、龍潭區,24.8624,121.2144
立委,苗栗縣2,邱鎮軍,89111,72749,167088,頭份市、三灣鄉、南庄鄉、苗栗市、頭屋鄉、獅潭鄉、公館鄉、大湖鄉、泰安鄉、卓蘭鎮,24.5647,120.8175
立委,台中市8,江啟臣,88651,64542,210596,豐原區、石岡區、新社、東勢區、和平區,24.2581,120.8203
立委,台北市6,羅智強,87973,74375,233124,大安區,25.025,121.5433
立委,台北市8,賴士葆,87099,59490,248320,文山區、中正區(10里),24.9882,121.5598
立委,新竹縣1,徐欣瑩,84959,45445,215268,新豐鄉、湖口鄉、新埔鎮、芎林鄉、關西鎮、尖石鄉、竹北市(12里),24.8756,121.0962
立委,雲林縣1,丁學忠,84736,81707,275008,麥寮鄉、臺西鄉、東勢鄉、褒忠鄉、土庫鎮、虎尾鎮、四湖鄉、元長鄉、口湖鄉、水林鄉、北港鎮,23.7557,120.252
立委,桃園市6,邱若華,81513,76346,282216,八德區、大溪區、復興區、中壢區(12里),24.9125,121.3188
立委,苗栗縣1,陳超明,79521,60358,147448,竹南鎮、後龍鎮、造橋鄉、西湖鄉、通霄鎮、銅鑼鄉、三義鄉、苑裡鎮,24.5986,120.722
立委,新北市7,葉元之,78134,75841,233124,板橋區東側(61里),25.0142,121.4678
立委,新竹縣2,林思銘,76608,63566,232868,竹東鎮、寶山鄉、北埔鄉、峨眉鄉、橫山鄉、五峰鄉、竹北市(19里),24.7381,121.0886
立委,南投縣2,游顥,70012,66551,198328,南投市、名間鄉、集集鎮、竹山鎮、鹿谷鄉、水里鄉、信義鄉,23.834,120.8878
立委,南投縣1,馬文君,68890,50886,186220,埔里鎮、草屯鎮、中寮鄉、魚池鄉、國姓鄉、仁愛鄉,23.9675,120.9698
立委,花蓮縣1,傅崐萁,68786,51732,193768,花蓮市、鳳林鎮、玉里鎮、新城鄉、吉安鄉、壽豐鄉、光復鄉、豐濱鄉、瑞穗鄉、富里鄉、秀林鄉、萬榮鄉、卓溪鄉,23.9871,121.6016
立委,台東縣1,黃建賓,25778,23420,115336,臺東市、成功鎮、關山鎮、卑南鄉、鹿野鄉、池上鄉、東河鄉、長濱鄉、太麻里鄉、大武鄉、綠島鄉、海端鄉、延平鄉、金峰鄉、達仁鄉、蘭嶼鄉,22.7586,121.1444
